Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
TFC,"Truist Financial Corp",58.26,-0.55,-0.94%,59.03,58.16,5087600,03/02/21
TFX,"Teleflex Inc",403.78,0.1,+0.02%,406.68,397.25,178600,03/02/21
TGT,"Target Corp",173.49,-12.6,-6.77%,193.58,172.17,22085100,03/02/21
TJX,"TJX Companies",66.21,-1.04,-1.55%,67.67,65.76,8987600,03/02/21
TMO,"Thermo Fisher Scientific Inc",462.11,2.55,+0.55%,467.31,458.08,1718200,03/02/21
TMUS,"T-Mobile US",122.45,-1.12,-0.91%,124.56,122.42,4797300,03/02/21
TPR,"Tapestry Inc",42.32,0.82,+1.98%,42.47,41.09,3704400,03/02/21
TRMB,"Trimble Navigation",75.57,-1.99,-2.57%,77.69,75.53,1429700,03/02/21
TROW,"T Rowe Price Group",169.65,1.43,+0.85%,175.05,167.6,1410700,03/02/21
TRV,"The Travelers Companies Inc",149.12,-1.27,-0.84%,150.92,149.02,1221300,03/02/21
TSCO,"Tractor Supply Company",158.91,-3.63,-2.23%,163.66,158.29,980700,03/02/21
TSLA,"Tesla Inc",686.44,-31.99,-4.45%,721.11,685,23692400,03/02/21
TSN,"Tyson Foods",68.68,0.14,+0.20%,69.25,68.25,1811000,03/02/21
TT,"Trane Technologies Plc",158.16,-0.31,-0.20%,158.91,155.84,1180700,03/02/21
TTWO,"Take-Two Interacti",188.17,0.72,+0.38%,190.81,186.31,1086900,03/02/21
TWTR,"Twitter Inc",73.67,-3.96,-5.10%,77.1,73.56,20497900,03/02/21
TXN,"Texas Instruments",174.89,-2.78,-1.56%,177.66,174.15,5401500,03/02/21
TXT,"Textron Inc",51.43,-0.13,-0.25%,51.86,51.09,802000,03/02/21
TYL,"Tyler Technologies",464.45,-12.6,-2.64%,475.64,463.99,129600,03/02/21
UA,"Under Armour Inc Cl C",19.02,0.07,+0.37%,19.18,18.83,2114100,03/02/21
UAA,"Under Armour",22.87,0.13,+0.57%,23.12,22.61,8022600,03/02/21
UAL,"United Airlines Holdings Inc",53.21,-0.1,-0.19%,54.05,52.75,12352199,03/02/21
UDR,"United Dominion Realty Trust",42.11,0.02,+0.05%,42.44,41.63,1961400,03/02/21
UHS,"Universal Health Services",129.35,1.45,+1.13%,130.51,127.01,560500,03/02/21
ULTA,"Ulta Beauty Inc",336.82,-0.6,-0.18%,341.5,335,757300,03/02/21
UNH,"Unitedhealth Group Inc",334.64,-0.01,0.00%,337.67,333.89,2568700,03/02/21
